customer_id,nome_completo,data_nascimento,genero,estado,cidade,nivel_fidelidade,data_cadastro,opt_in_newsletter,dispositivo_principal,renda_estimada,total_pedidos_historico,ltv_acumulado,segmento_rfm
CLI-00001,Thales Teixeira,1989-12-04,F,ES,Cariacica,Silver,2025-12-18,True,iOS,3097.06,7,3693.64,Fiel
CLI-00002,Allana Novais,2003-05-26,F,GO,Rio Verde,Bronze,2020-03-23,True,iOS,10577.04,7,2679.05,Churn
CLI-00003,Bryan da Rosa,2002-02-13,M,PB,João Pessoa,Bronze,2020-09-10,True,Android,7627.71,10,6954.27,Hibernando
CLI-00004,Sr. Davi Vieira,1997-05-15,M,MG,Uberlândia,Bronze,2025-06-06,True,Desktop,18905.35,6,2402.24,Em Risco
CLI-00005,Catarina Azevedo,2005-12-18,F,PE,Petrolina,Bronze,2021-11-11,True,Desktop,23045.56,1,256.93,Churn
CLI-00006,Asafe Pires,1997-11-15,M,CE,Caucaia,Silver,2021-05-05,False,Android,11486.51,12,7699.91,Em Risco
CLI-00007,Leandro Martins,1986-02-05,F,RJ,Petrópolis,Bronze,2025-03-26,False,Android,21867.54,7,3633.55,Promissor
CLI-00008,Samuel Campos,2005-06-04,Não informado,MG,Montes Claros,Bronze,2022-07-06,False,Android,13922.84,8,1297.95,Churn
CLI-00009,Emanuella Nunes,1989-06-25,F,BA,Itabuna,Bronze,2021-09-25,False,Android,22271.24,9,6922.75,Promissor
CLI-00010,Srta. Sophia Moreira,2003-02-03,F,PE,Caruaru,Gold,2025-08-27,True,iOS,14870.58,19,17335.77,Campeão
CLI-00011,Enzo Gabriel da Conceição,2002-12-23,M,RR,Mucajaí,Bronze,2021-12-10,True,Desktop,8077.88,7,5828.73,Promissor
CLI-00012,Srta. Maria Rios,2003-04-01,F,MG,Montes Claros,Bronze,2020-12-21,True,Android,17552.0,1,335.16,Churn
CLI-00013,Srta. Maria Isis Fonseca,2003-10-16,F,SP,Osasco,Bronze,2021-08-26,True,Desktop,21936.33,7,1684.64,Promissor
CLI-00014,Vinicius Montenegro,1995-02-08,F,SP,São Paulo,Bronze,2021-04-18,False,Android,12470.44,8,1745.79,Promissor
CLI-00015,Ester Correia,2002-01-03,F,MT,Cuiabá,Gold,2021-03-14,True,iOS,11284.49,46,27165.21,Campeão
CLI-00016,Laura Andrade,2002-11-23,F,CE,Juazeiro do Norte,Gold,2023-03-07,False,Android,3786.22,33,8345.51,Promissor
CLI-00017,Catarina Oliveira,2001-02-28,NB,PI,Floriano,Silver,2021-02-20,True,iOS,15525.68,7,4363.97,Fiel
CLI-00018,Srta. Isabelly Viana,2003-09-11,F,MG,Juiz de Fora,Bronze,2022-04-22,False,Android,23554.02,6,1773.63,Churn
CLI-00019,Raquel Mendonça,1987-09-07,F,TO,Paraíso do Tocantins,Bronze,2024-05-05,True,Desktop,14722.4,6,4828.65,Churn
CLI-00020,Lorenzo Nascimento,2002-05-22,F,MS,Campo Grande,Bronze,2020-03-09,True,Android,18646.27,2,1562.56,Hibernando
CLI-00021,Gustavo Henrique Sousa,1986-02-21,F,PB,Bayeux,Bronze,2023-05-02,True,Android,18377.52,1,326.19,Churn
CLI-00022,Manuella Monteiro,1989-09-02,M,MG,Belo Horizonte,Silver,2022-10-18,False,Desktop,21865.81,9,3333.11,Promissor
CLI-00023,Sr. Mateus Souza,1996-09-28,Não informado,PR,Londrina,Gold,2023-10-24,False,Android,22331.86,24,16616.99,Campeão
CLI-00024,Heloísa Leão,1992-05-06,F,PB,Patos,Bronze,2025-02-13,False,Desktop,22104.77,1,649.12,Promissor
CLI-00025,Juan Cunha,1987-05-12,F,SC,Chapecó,Bronze,2025-09-13,False,iOS,8472.99,9,3244.57,Churn
CLI-00026,Miguel Rocha,1995-07-20,F,PI,Picos,Bronze,2024-02-13,False,Android,14615.17,10,2361.61,Promissor
CLI-00027,Daniela Montenegro,2006-06-20,M,RS,Pelotas,Silver,2022-11-28,True,Android,18187.19,8,4646.64,Promissor
CLI-00028,Davi Lucca Casa Grande,1997-11-24,F,SC,Chapecó,Silver,2021-10-19,True,Android,15549.66,14,6375.49,Promissor
CLI-00029,Dr. Davi Lucas Souza,1991-09-16,F,MA,Caxias,Silver,2025-03-22,False,Android,19400.61,7,2456.31,Em Risco
CLI-00030,Clarice Macedo,1986-04-16,M,RS,Caxias do Sul,Silver,2024-02-15,True,iOS,7989.65,18,15369.13,Em Risco
CLI-00031,Mariah da Rosa,1988-07-08,F,SP,São Bernardo do Campo,Silver,2021-12-17,False,Desktop,17520.5,19,3209.1,Fiel
CLI-00032,João Felipe Leão,2001-07-27,M,MG,Juiz de Fora,Platinum,2024-08-06,True,Android,16601.84,90,42837.49,Fiel
CLI-00033,Marina Cunha,1995-06-18,F,RJ,Nova Iguaçu,Bronze,2020-03-05,True,iOS,14708.75,4,1644.12,Hibernando
CLI-00034,Júlia Moraes,2003-12-01,M,PR,Ponta Grossa,Bronze,2024-07-16,False,Android,11927.98,1,716.7,Promissor
CLI-00035,Carlos Eduardo Moraes,2000-04-09,M,GO,Luziânia,Silver,2023-08-01,False,Desktop,23189.69,17,6600.89,Promissor
CLI-00036,Sr. Arthur Gabriel Aragão,2006-01-03,F,SP,Ribeirão Preto,Platinum,2025-07-05,True,Android,19627.67,89,22146.01,Fiel
CLI-00037,Ana Carolina Barros,2000-01-24,M,AL,Rio Largo,Bronze,2024-01-12,False,Desktop,6985.62,4,2483.61,Em Risco
CLI-00038,Daniel Borges,2006-02-19,M,ES,Vila Velha,Bronze,2021-08-23,True,iOS,9498.38,5,3357.16,Em Risco
CLI-00039,Larissa Moreira,1997-07-23,M,PE,Paulista,Silver,2021-02-19,False,Android,16009.26,27,17189.58,Em Risco
CLI-00040,Dra. Ana Júlia Jesus,1998-11-12,F,DF,Brasília,Bronze,2020-09-21,False,iOS,16800.66,6,1065.56,Promissor
CLI-00041,Clarice Rios,2001-11-09,F,ES,Serra,Gold,2024-09-25,False,iOS,21191.45,45,25686.32,Promissor
CLI-00042,Maria Flor Pimenta,2003-10-22,F,PE,Caruaru,Bronze,2023-06-01,True,Android,8792.32,8,5088.06,Hibernando
CLI-00043,Ana Fogaça,1991-02-08,M,AL,União dos Palmares,Silver,2025-07-16,True,iOS,2887.97,22,17192.98,Em Risco
CLI-00044,Isaac Souza,2003-06-16,M,PB,Campina Grande,Bronze,2024-09-12,True,iOS,8156.58,7,6519.46,Churn
CLI-00045,Theodoro da Rocha,2002-12-06,Não informado,SC,Blumenau,Bronze,2021-04-24,False,iOS,9165.55,8,3115.0,Churn
CLI-00046,Srta. Stella Fernandes,1989-05-02,M,BA,Salvador,Bronze,2020-09-10,True,Android,13061.43,3,1822.3,Em Risco
CLI-00047,Ana Sophia Silveira,2000-02-27,F,PR,Curitiba,Bronze,2020-07-16,True,iOS,9336.3,2,1275.2,Hibernando
CLI-00048,Srta. Ana Clara Martins,2004-10-26,M,SP,Sorocaba,Platinum,2024-04-25,False,Android,9371.06,96,42809.16,Fiel
CLI-00049,Cecília Barbosa,1991-11-07,F,AP,Macapá,Silver,2022-11-03,True,Desktop,15860.75,10,3106.84,Fiel
CLI-00050,Ayla Aparecida,1999-02-22,F,BA,Vitória da Conquista,Bronze,2021-05-26,True,Android,5852.26,10,6551.97,Promissor
CLI-00051,Dra. Stella da Rocha,1994-10-24,NB,MG,Belo Horizonte,Bronze,2024-05-15,True,iOS,13610.39,2,984.24,Promissor
CLI-00052,Kamilly Novaes,2004-05-01,M,RJ,Duque de Caxias,Bronze,2020-04-22,False,Android,6441.79,10,4551.94,Churn
CLI-00053,Pedro Henrique Silva,2003-07-21,M,BA,Vitória da Conquista,Silver,2023-02-16,True,iOS,18107.66,16,7233.5,Fiel
CLI-00054,Luigi Monteiro,1987-06-09,M,PB,Bayeux,Bronze,2022-02-25,True,iOS,11798.07,7,6292.0,Em Risco
CLI-00055,Gabriela Fonseca,2005-08-25,F,PI,Floriano,Bronze,2020-04-09,False,Android,16199.61,9,1981.84,Promissor
CLI-00056,Mariah Pastor,2002-07-03,F,PR,Maringá,Bronze,2021-02-15,True,Android,21281.29,2,1023.47,Churn
CLI-00057,Dr. Samuel Peixoto,1997-04-20,F,RJ,Duque de Caxias,Platinum,2024-12-05,False,Android,8511.38,38,13612.86,Fiel
CLI-00058,Bruno Novais,2006-08-28,F,BA,Itabuna,Bronze,2021-08-18,True,Android,6744.68,8,3041.29,Promissor
CLI-00059,Bryan Rezende,1998-01-11,Não informado,AM,Manacapuru,Silver,2025-08-23,True,iOS,3332.94,30,15735.02,Em Risco
CLI-00060,Luara Sales,1999-02-17,F,RO,Ariquemes,Silver,2023-01-24,False,Desktop,8463.01,9,3922.43,Fiel
CLI-00061,Caroline Aparecida,2006-09-13,F,MA,São Luís,Silver,2022-11-23,False,Desktop,23220.9,29,13714.51,Em Risco
CLI-00062,Bianca Vargas,2005-12-28,M,SP,Ribeirão Preto,Platinum,2020-08-06,True,Desktop,10933.92,118,34921.87,Fiel
CLI-00063,Luísa Vieira,1990-03-06,F,MS,Corumbá,Bronze,2020-10-28,False,Android,12840.34,7,3568.81,Hibernando
CLI-00064,Anna Liz da Rosa,1990-02-15,M,MA,Timon,Silver,2022-10-10,True,Android,11155.6,25,20489.62,Promissor
CLI-00065,Enrico Gomes,2003-05-23,M,PE,Olinda,Bronze,2022-01-27,False,Android,21238.88,7,2344.35,Em Risco
CLI-00066,Bárbara da Mota,1992-11-07,M,BA,Itabuna,Gold,2024-05-22,False,Desktop,9450.99,57,30095.27,Campeão
CLI-00067,João Ribeiro,1987-05-11,F,PA,Santarém,Bronze,2025-07-06,False,Android,21185.63,4,954.77,Churn
CLI-00068,Benjamim Melo,1995-02-15,NB,RN,Parnamirim,Bronze,2020-03-25,False,Android,10729.94,4,3027.15,Promissor
CLI-00069,Sr. Mateus Duarte,1999-06-22,F,RJ,Nova Iguaçu,Gold,2025-11-09,True,Android,3063.05,52,21538.17,Fiel
CLI-00070,Cecilia da Paz,1992-11-03,NB,MS,Três Lagoas,Gold,2025-08-23,True,Desktop,13584.05,34,17211.7,Campeão
CLI-00071,Davi Lucca Mendes,1996-11-24,M,DF,Ceilândia,Bronze,2025-09-14,False,Android,16352.17,10,5669.23,Promissor
CLI-00072,Alexia Guerra,1991-08-15,F,RJ,Rio de Janeiro,Platinum,2021-06-04,True,Android,24284.65,117,50967.27,Fiel
CLI-00073,Isis Freitas,2005-11-20,F,GO,Goiânia,Platinum,2020-01-26,False,Android,7161.04,72,19707.79,Campeão
CLI-00074,Otto Novaes,2004-01-09,F,BA,Vitória da Conquista,Bronze,2021-03-18,True,Android,20239.71,5,2953.71,Em Risco
CLI-00075,Maria Helena Castro,1989-12-14,M,MG,Uberlândia,Silver,2024-02-24,True,iOS,7484.87,7,4008.01,Em Risco
CLI-00076,Daniela Azevedo,1985-01-16,M,MT,Rondonópolis,Silver,2023-07-22,True,Android,5837.51,8,4210.24,Fiel
CLI-00077,Sra. Mariana Mendonça,1995-07-20,M,TO,Paraíso do Tocantins,Bronze,2024-05-15,False,Android,19801.66,9,4303.53,Em Risco
CLI-00078,Erick Carvalho,1992-07-11,F,SC,Chapecó,Silver,2023-07-14,False,Android,17953.47,28,5800.26,Em Risco
CLI-00079,Maria Luiza Câmara,1988-12-24,M,ES,Vitória,Bronze,2022-03-18,True,iOS,22156.17,1,622.17,Churn
CLI-00080,Ian Guerra,2004-05-12,F,RS,Porto Alegre,Platinum,2020-10-17,True,Desktop,5084.92,57,14206.44,Campeão
CLI-00081,Rafael Aparecida,2004-10-22,F,RS,Canoas,Bronze,2025-09-01,True,Desktop,19654.21,10,8284.19,Churn
CLI-00082,Dr. Luiz Felipe da Mata,1989-10-22,F,AL,Maceió,Gold,2023-02-05,True,iOS,10170.16,55,43385.87,Promissor
CLI-00083,Gustavo Moraes,1986-03-06,M,MA,Açailândia,Bronze,2024-01-22,True,Android,7350.3,2,685.49,Promissor
CLI-00084,Zoe Gonçalves,2006-11-19,F,AL,Palmeira dos Índios,Silver,2023-09-22,True,iOS,23769.79,14,2799.48,Em Risco
CLI-00085,Gabrielly Nunes,1985-08-24,M,MA,Timon,Silver,2023-03-05,False,iOS,4121.7,17,8914.89,Em Risco
CLI-00086,Dr. Antony Ramos,1987-06-19,F,RJ,Duque de Caxias,Gold,2023-10-13,True,iOS,20529.75,60,36593.87,Fiel
CLI-00087,Gabrielly Rios,1988-04-14,F,PI,Teresina,Silver,2024-07-17,False,Android,4218.54,7,2688.48,Promissor
CLI-00088,Theo Sá,1996-06-24,F,MS,Grande Dourados,Silver,2025-03-08,False,iOS,4195.45,8,2050.87,Em Risco
CLI-00089,Sra. Juliana Silveira,2003-08-22,F,MT,Sinop,Platinum,2024-11-21,True,Android,12449.68,109,44794.91,Fiel
CLI-00090,Liam Gomes,2001-02-10,M,AL,União dos Palmares,Bronze,2023-08-02,True,iOS,12911.01,1,419.51,Em Risco
CLI-00091,Sra. Lunna Silva,2003-11-07,M,RJ,Duque de Caxias,Silver,2022-10-16,False,Desktop,24603.68,21,4524.56,Fiel
CLI-00092,Yan Sousa,1999-08-17,M,RS,Porto Alegre,Bronze,2024-10-06,False,iOS,3678.22,6,2530.91,Promissor
CLI-00093,Sr. Léo Cassiano,2002-11-13,F,PB,João Pessoa,Silver,2022-05-24,True,iOS,5682.14,26,23943.98,Fiel
CLI-00094,João Guilherme Cavalcante,1987-05-18,M,MA,Imperatriz,Bronze,2023-11-26,True,Android,10641.13,6,4279.21,Em Risco
CLI-00095,Maria Fonseca,2000-04-08,M,PR,Londrina,Bronze,2021-03-03,False,iOS,16405.71,5,3537.7,Em Risco
CLI-00096,Cecília Martins,2004-03-24,M,ES,Vila Velha,Silver,2023-01-14,False,iOS,20135.51,16,9995.02,Promissor
CLI-00097,Laura Freitas,2000-04-12,NB,PE,Petrolina,Bronze,2025-10-15,False,Desktop,20528.33,8,5635.04,Promissor
CLI-00098,Dra. Ana Carolina Alves,1996-09-04,F,MA,São Luís,Bronze,2025-09-28,True,Android,21198.55,2,723.51,Churn
CLI-00099,João Pedro das Neves,1985-07-02,F,RS,Canoas,Bronze,2023-09-12,False,Desktop,21381.47,4,1402.7,Hibernando
CLI-00100,Dra. Maria Rocha,2000-12-27,F,MG,Uberlândia,Silver,2021-12-16,False,iOS,14848.1,19,13480.14,Fiel
CLI-00101,Luiza Silva,1994-04-10,F,MS,Corumbá,Silver,2020-01-08,False,iOS,15926.63,18,12133.24,Fiel
CLI-00102,Srta. Ana Correia,1989-05-14,F,GO,Luziânia,Bronze,2020-10-12,True,iOS,23951.58,4,2171.5,Em Risco
CLI-00103,Anthony Gabriel Novaes,2000-01-21,F,PI,Floriano,Silver,2023-06-09,False,iOS,4832.44,28,5617.44,Promissor
CLI-00104,Juan Barbosa,2002-06-27,M,PB,Campina Grande,Silver,2025-03-27,False,iOS,3919.76,29,22707.22,Promissor
CLI-00105,Kevin Caldeira,1986-04-02,F,CE,Fortaleza,Silver,2022-05-17,False,iOS,8937.5,17,15701.89,Promissor
CLI-00106,Lunna Nunes,1996-07-13,F,MG,Contagem,Gold,2025-08-13,False,iOS,8501.22,36,32375.98,Fiel
CLI-00107,Maria Liz Sampaio,1990-09-10,F,SE,Aracaju,Bronze,2022-02-03,True,Android,12560.42,6,3275.71,Promissor
CLI-00108,Davi Lucca da Mota,1993-11-26,M,SE,São Cristóvão,Silver,2020-02-22,False,Desktop,5712.54,25,10391.55,Em Risco
CLI-00109,Sara Siqueira,1992-11-12,F,BA,Salvador,Silver,2022-07-19,False,iOS,15413.24,6,3950.23,Promissor
CLI-00110,Srta. Maria Laura Marques,1992-02-01,M,MA,Timon,Silver,2025-03-16,False,Android,7327.83,21,8588.39,Promissor
CLI-00111,Carolina Andrade,1987-08-06,M,AL,Arapiraca,Silver,2025-08-03,False,iOS,14874.94,30,22588.83,Promissor
CLI-00112,Luara Araújo,2005-03-26,M,BA,Feira de Santana,Bronze,2022-09-08,True,Android,14965.48,2,1719.17,Hibernando
CLI-00113,Ravi Ramos,1987-02-10,F,MT,Várzea Grande,Bronze,2023-12-24,True,Android,4168.71,8,4251.25,Em Risco
CLI-00114,Bárbara Azevedo,2002-11-19,F,MT,Rondonópolis,Bronze,2021-03-14,True,iOS,6144.26,9,6655.08,Em Risco
CLI-00115,Cecília Barros,2001-05-28,M,RJ,Nova Iguaçu,Platinum,2020-05-07,True,Desktop,16922.22,111,79855.24,Fiel
CLI-00116,Isabelly Brito,2004-12-20,F,PA,Ananindeua,Silver,2022-10-02,True,iOS,15373.09,5,1322.98,Em Risco
CLI-00117,Samuel Costela,2002-05-21,F,ES,Serra,Silver,2022-08-08,True,Desktop,12391.12,30,19673.01,Promissor
CLI-00118,Giovanna da Paz,1995-12-11,F,PR,Maringá,Bronze,2025-06-13,True,Android,8518.11,3,1941.99,Em Risco
CLI-00119,Bella Barros,1997-10-14,M,SP,São Paulo,Bronze,2021-03-27,True,iOS,14081.31,6,5569.35,Hibernando
CLI-00120,Srta. Marcela Vasconcelos,1997-09-15,F,PE,Olinda,Bronze,2021-04-19,True,iOS,4918.68,6,1171.03,Promissor
CLI-00121,Ana Liz Vasconcelos,1996-01-13,F,PB,Santa Rita,Bronze,2020-10-18,False,Android,8793.72,4,1444.73,Promissor
CLI-00122,Liz da Conceição,1997-06-26,F,SP,Campinas,Platinum,2022-09-12,True,Desktop,9993.42,48,13447.31,Campeão
CLI-00123,Dr. Caio da Cunha,2001-03-11,M,CE,Caucaia,Bronze,2024-06-06,True,Android,13968.57,7,5956.29,Churn
CLI-00124,Maysa Campos,1985-06-11,M,DF,Taguatinga,Bronze,2025-02-14,True,Android,17250.8,10,3918.6,Em Risco
CLI-00125,Bento da Cruz,1990-09-21,M,RJ,Rio de Janeiro,Platinum,2025-10-25,False,Android,6792.65,78,20232.79,Campeão
CLI-00126,Maria Cecília Oliveira,1991-07-17,Não informado,AL,Arapiraca,Bronze,2024-08-28,True,Android,10978.56,1,612.17,Churn
CLI-00127,Clara da Luz,1996-11-25,F,GO,Luziânia,Platinum,2025-11-21,True,iOS,23683.42,118,43465.8,Campeão
CLI-00128,Oliver Nunes,2000-06-16,M,MG,Uberlândia,Platinum,2022-09-26,True,Android,10265.53,65,22392.04,Fiel
CLI-00129,Vitor Peixoto,1987-06-15,NB,MG,Contagem,Silver,2025-05-24,False,iOS,5588.64,20,7303.28,Promissor
CLI-00130,Ana Nascimento,2006-09-08,M,RO,Ji-Paraná,Silver,2025-04-02,True,iOS,24201.67,8,4102.69,Fiel
CLI-00131,João Guilherme Gonçalves,2000-08-21,M,SP,Ribeirão Preto,Platinum,2021-05-11,True,Android,19120.45,66,42211.65,Campeão
CLI-00132,Fernanda Barros,1990-01-27,M,SP,Campinas,Gold,2023-08-06,False,Android,10038.45,33,20258.77,Promissor
CLI-00133,Stella Oliveira,1989-09-15,M,GO,Luziânia,Bronze,2022-04-26,True,Android,10085.02,2,780.5,Churn
CLI-00134,Sr. João Gabriel Andrade,2005-07-27,F,SC,Joinville,Bronze,2023-09-11,False,Android,2653.68,2,721.42,Hibernando
CLI-00135,Maria Luiza Sousa,1994-10-24,F,PE,Petrolina,Bronze,2024-01-09,True,Desktop,17936.66,6,3128.66,Em Risco
CLI-00136,Sr. Ryan da Cunha,1994-06-20,F,PE,Recife,Gold,2021-04-05,False,Android,23037.93,45,12065.35,Promissor
CLI-00137,Guilherme Rocha,2004-02-17,M,SC,Joinville,Silver,2023-09-23,False,Android,7048.53,16,3274.11,Fiel
CLI-00138,Davi Lucas Almeida,1999-02-22,F,SC,Blumenau,Silver,2021-12-19,True,Desktop,12777.97,20,4195.26,Fiel
CLI-00139,Francisco Marques,1997-05-27,F,MA,Timon,Bronze,2020-12-07,True,Android,22619.92,10,1929.49,Em Risco
CLI-00140,Stephany Gonçalves,1990-03-25,M,MT,Cuiabá,Platinum,2025-12-21,False,iOS,10952.02,83,41958.36,Fiel
CLI-00141,Bárbara Cassiano,1996-02-06,M,GO,Aparecida de Goiânia,Silver,2024-07-17,False,Android,12917.59,9,5141.43,Fiel
CLI-00142,Arthur Gabriel Jesus,1992-04-15,F,SE,São Cristóvão,Silver,2022-03-09,False,Android,16335.77,11,8916.34,Fiel
CLI-00143,Bella Nunes,1988-10-02,F,SP,Campinas,Platinum,2023-10-22,True,iOS,7388.56,120,91360.85,Campeão
CLI-00144,Mateus Viana,1994-04-27,F,ES,Vila Velha,Gold,2025-10-11,False,Android,24678.15,51,28892.86,Fiel
CLI-00145,Carolina Cavalcanti,2002-10-24,NB,RN,Parnamirim,Silver,2021-11-22,False,iOS,20180.6,18,9145.24,Promissor
CLI-00146,Emilly Almeida,1997-03-25,M,AL,Palmeira dos Índios,Bronze,2024-08-08,True,iOS,24275.19,4,1688.17,Promissor
CLI-00147,Ana Carolina Costela,1991-06-21,F,RJ,Duque de Caxias,Silver,2020-08-28,True,iOS,16111.81,16,4126.33,Fiel
CLI-00148,Alexia Almeida,2003-12-22,F,RJ,Niterói,Bronze,2024-04-16,True,Desktop,19183.19,4,2717.28,Em Risco
CLI-00149,Sra. Mariah Lopes,1991-07-08,F,RN,Mossoró,Silver,2024-06-25,True,Android,22363.27,14,5620.19,Promissor
CLI-00150,Dr. Bernardo Porto,1996-06-14,F,PB,Santa Rita,Bronze,2020-10-28,True,Desktop,7675.42,4,2160.47,Promissor
CLI-00151,André Moreira,2006-06-09,F,CE,Maracanaú,Silver,2023-12-21,False,Android,13487.12,28,11822.13,Promissor
CLI-00152,Dr. Apollo Rocha,1987-11-02,F,GO,Goiânia,Gold,2020-07-05,True,Android,3860.13,55,17550.71,Campeão
CLI-00153,Ana Sophia Nascimento,1985-01-18,F,AP,Oiapoque,Silver,2024-07-01,False,Android,17665.74,5,2303.65,Promissor
CLI-00154,Manuela Marques,2001-03-08,F,RS,Porto Alegre,Gold,2021-10-17,False,Desktop,12827.45,31,19605.37,Fiel
CLI-00155,Benjamin Nunes,1987-11-28,M,RS,Pelotas,Bronze,2025-01-03,False,Android,4360.44,7,2819.54,Em Risco
CLI-00156,Eduarda Sales,1988-09-02,M,PB,Bayeux,Gold,2021-04-28,False,Desktop,8808.39,59,42572.49,Campeão
CLI-00157,Nicole Ribeiro,1995-01-07,F,SP,Campinas,Silver,2024-03-25,True,Desktop,21279.64,27,20831.54,Promissor
CLI-00158,Carlos Eduardo Farias,1989-12-24,F,GO,Anápolis,Bronze,2020-09-24,False,Android,23984.31,6,1088.48,Em Risco
CLI-00159,Srta. Brenda da Rocha,1999-08-08,F,MA,São Luís,Bronze,2022-09-13,True,Android,20456.24,7,1943.93,Promissor
CLI-00160,Dr. Nathan Macedo,2005-03-24,F,MG,Contagem,Silver,2023-06-12,True,iOS,5481.41,8,2183.41,Promissor
CLI-00161,Srta. Fernanda Pereira,1998-02-01,F,PE,Paulista,Bronze,2020-06-18,True,Android,20031.3,2,1167.82,Promissor
CLI-00162,Eloá Nunes,1990-11-13,F,MS,Dourados,Silver,2021-03-09,True,Android,13395.2,14,4060.0,Fiel
CLI-00163,Olívia da Mata,2000-10-20,M,MA,Imperatriz,Bronze,2021-08-04,True,Android,21899.46,3,1184.67,Churn
CLI-00164,Caio Câmara,1995-10-23,M,PI,Floriano,Bronze,2021-08-11,False,iOS,24274.67,3,3057.49,Churn
CLI-00165,Ana Carolina Silveira,1997-06-04,NB,MA,Caxias,Gold,2024-04-19,True,iOS,18438.26,49,16250.5,Campeão
CLI-00166,Ana Sophia Sá,1998-11-16,M,PI,Teresina,Bronze,2021-11-10,True,Desktop,24790.76,4,1126.55,Promissor
CLI-00167,Isaac Nunes,1998-09-02,M,PB,Bayeux,Bronze,2022-12-26,False,Android,10487.7,9,5423.55,Em Risco
CLI-00168,Antônio Sá,2006-11-13,F,RJ,Petrópolis,Silver,2022-07-04,True,Desktop,15442.8,5,981.19,Em Risco
CLI-00169,Allana Barbosa,2003-12-17,F,MA,Caxias,Bronze,2021-06-01,False,Android,5687.69,8,1699.7,Em Risco
CLI-00170,Ravi Lucca da Cunha,1996-08-04,F,CE,Caucaia,Bronze,2023-12-23,True,Android,4960.66,8,2687.06,Em Risco
CLI-00171,Luiz Otávio Moura,1990-06-18,F,CE,Sobral,Gold,2023-08-08,True,iOS,16317.41,40,23309.07,Promissor
CLI-00172,Asafe Cunha,1991-04-09,F,RO,Vilhena,Bronze,2025-02-19,True,Android,8402.95,2,1354.18,Churn
CLI-00173,Dra. Rebeca Marques,2004-07-19,M,MS,Três Lagoas,Gold,2020-06-12,False,Android,15778.79,44,26539.64,Promissor
